Transaction Search - Company
BMO - Mastercard, Statement Period 05/06/2026 to 06/05/2026

Posting Date   Tran Date        Account                        Supplier       Amount USD
5/11/2026   5/10/2026 XXXX-XXXX-XXXX-9199   Amazon.Com Bv7wp6060     $    82.67
5/11/2026   5/10/2026 XXXX-XXXX-XXXX-9199   Amazon Mktpl Bf0iz5fo1   $    89.59
5/11/2026   5/10/2026 XXXX-XXXX-XXXX-9199   Amazon Mktpl 1t08g27p3   $   119.99
5/11/2026   5/10/2026 XXXX-XXXX-XXXX-9199   Stapls7915473678000004   $   179.14
5/11/2026   5/10/2026 XXXX-XXXX-XXXX-9199   Amazon Mktpl Bv04q50z0   $   192.25
5/11/2026   5/10/2026 XXXX-XXXX-XXXX-9199   Amazon Mktpl Bv5802eu0   $   197.12
5/11/2026   5/10/2026 XXXX-XXXX-XXXX-2619   Executive Travel Of Na   $   300.00
5/11/2026   5/10/2026 XXXX-XXXX-XXXX-2619   Executive Travel Of Na   $   300.00
5/11/2026   5/10/2026 XXXX-XXXX-XXXX-2619   Executive Travel Of Na   $   300.00
5/11/2026   5/10/2026 XXXX-XXXX-XXXX-3897   Hy-Vee Coralville 1085   $   197.96
5/11/2026   5/10/2026 XXXX-XXXX-XXXX-6253   Dd Doordash Ihop         $    31.12
5/11/2026   5/10/2026 XXXX-XXXX-XXXX-6253   Dd Doordash Beignetsb    $    31.37
5/11/2026   5/10/2026 XXXX-XXXX-XXXX-6253   Uber Eats                $    40.75
5/11/2026   5/10/2026 XXXX-XXXX-XXXX-6253   Dd Storechick-Fil-A      $    48.67
5/11/2026   5/10/2026 XXXX-XXXX-XXXX-6253   Doordash 05/09-2 Order   $    49.19
5/11/2026   5/10/2026 XXXX-XXXX-XXXX-6253   Dd Doordash Nashville    $    95.23
5/11/2026   5/11/2026 XXXX-XXXX-XXXX-5173   Amazon Mktpl 5r1ir3xd3   $    24.99
5/11/2026   5/11/2026 XXXX-XXXX-XXXX-9167   Amazon Mktpl Bf9ei2l51   $   139.41
5/11/2026   5/11/2026 XXXX-XXXX-XXXX-9167   Amazon.Com Q51227zy3     $   653.29
5/11/2026   5/11/2026 XXXX-XXXX-XXXX-9199   Amazon Mktpl Bf8ny84u1   $     6.99
5/11/2026   5/11/2026 XXXX-XXXX-XXXX-9199   Amazon Mktpl Bf29o8zn1   $    25.69
5/11/2026   5/11/2026 XXXX-XXXX-XXXX-9199   Amazon.Com Bf48n1lc1     $   103.98
5/12/2026   5/10/2026 XXXX-XXXX-XXXX-2093   Hy-Vee Aisles Online 4   $   347.75
5/12/2026   5/11/2026 XXXX-XXXX-XXXX-5173   Amazon Mktpl Bf5vd1tm1   $    32.00
5/12/2026   5/11/2026 XXXX-XXXX-XXXX-2938   Pay Smash Park           $   480.92
5/12/2026   5/11/2026 XXXX-XXXX-XXXX-2093   Wal-Mart #1721           $   105.78
5/12/2026   5/11/2026 XXXX-XXXX-XXXX-0134   City Of North Liberty    $    50.00
5/12/2026   5/11/2026 XXXX-XXXX-XXXX-0134   City Of North Liberty    $    50.00
5/12/2026   5/11/2026 XXXX-XXXX-XXXX-0134   City Of North Liberty    $    50.00
5/12/2026   5/11/2026 XXXX-XXXX-XXXX-9167   Amazon Mktpl Bf6pq13n1   $     7.07
5/12/2026   5/11/2026 XXXX-XXXX-XXXX-9167   Amazon.Com Bf8bh6tc1     $    11.39
5/12/2026   5/11/2026 XXXX-XXXX-XXXX-9167   Amazon.Com Bf34e6jg1     $    21.98
5/12/2026   5/11/2026 XXXX-XXXX-XXXX-9167   Amazon.Com 027z01c03     $   115.79
5/12/2026   5/11/2026 XXXX-XXXX-XXXX-9199   Lowes #00907             $    22.20
5/12/2026   5/11/2026 XXXX-XXXX-XXXX-9199   Amazon.Com Bf0383to1     $    39.98
5/12/2026   5/11/2026 XXXX-XXXX-XXXX-9199   Amazon Mktpl Bv6e90vd0   $    51.71
5/12/2026   5/11/2026 XXXX-XXXX-XXXX-9199   Amazon Mktpl Ka44q6nh3   $   430.32
5/12/2026   5/11/2026 XXXX-XXXX-XXXX-9199   Amazon Mktpl Bv7t78g90   $   530.80
5/12/2026   5/11/2026 XXXX-XXXX-XXXX-1519   Arnold Motor Supply 4    $    48.48
5/12/2026   5/11/2026 XXXX-XXXX-XXXX-1519   Arnold Motor Supply 4    $   388.64
5/12/2026   5/11/2026 XXXX-XXXX-XXXX-3050   Sp World Of Books        $    69.26
5/12/2026   5/11/2026 XXXX-XXXX-XXXX-3050   Sp World Of Books        $    86.85
5/12/2026   5/11/2026 XXXX-XXXX-XXXX-1390   Hy-Vee Coralville 1080   $    76.33
5/12/2026   5/11/2026 XXXX-XXXX-XXXX-0891   Hy-Vee Iowa City 1285    $    12.32
5/12/2026   5/11/2026 XXXX-XXXX-XXXX-4001   Clearwater Butterfly     $    49.90
5/12/2026   5/11/2026 XXXX-XXXX-XXXX-2934   Athleticlive             $    29.00
5/12/2026   5/11/2026 XXXX-XXXX-XXXX-6253   Paypal Mathleague        $   345.00
5/12/2026   5/11/2026 XXXX-XXXX-XXXX-2589   Papa Johns #2512         $   183.75
5/12/2026   5/11/2026 XXXX-XXXX-XXXX-9782   Fareway Meat And Groce   $     5.57
5/12/2026   5/11/2026 XXXX-XXXX-XXXX-9782   Fareway Meat And Groce   $   138.41
5/12/2026   5/12/2026 XXXX-XXXX-XXXX-9828   Tst Divots               $    16.96
5/12/2026   5/12/2026 XXXX-XXXX-XXXX-9828   Tst Divots               $     64.13
5/12/2026   5/12/2026 XXXX-XXXX-XXXX-9167   Amazon.Com Bv1u935c0     $     41.98
5/12/2026   5/12/2026 XXXX-XXXX-XXXX-9199   Amazon Mktpl De0kr8tx3   $     48.85
5/13/2026   4/24/2026 XXXX-XXXX-XXXX-6061   Fairfield Inn & Suites   $    (145.60)
5/13/2026   4/28/2026 XXXX-XXXX-XXXX-6253   Dd Doordash Awrestaur    $     (23.47)
5/13/2026    5/2/2026 XXXX-XXXX-XXXX-6253   Dd Doordashdashpass      $      (9.99)
5/13/2026    5/9/2026 XXXX-XXXX-XXXX-6253   Dd Doordash Wingstop     $     (24.74)
5/13/2026    5/9/2026 XXXX-XXXX-XXXX-6253   Dd Doordash Thesweets    $     (32.59)
5/13/2026    5/9/2026 XXXX-XXXX-XXXX-6253   Dd Doordash Nashville    $     (47.13)
5/13/2026    5/9/2026 XXXX-XXXX-XXXX-6253   Dd Doordash Shakeshac    $    (109.06)
5/13/2026   5/10/2026 XXXX-XXXX-XXXX-6253   Dd Doordash Ihop         $     (31.12)
5/13/2026   5/10/2026 XXXX-XXXX-XXXX-6253   Dd Doordash Beignetsb    $     (31.37)
5/13/2026   5/10/2026 XXXX-XXXX-XXXX-6253   Uber Eats                $     (40.75)
5/13/2026   5/10/2026 XXXX-XXXX-XXXX-6253   Dd Storechick-Fil-A      $     (48.67)
5/13/2026   5/10/2026 XXXX-XXXX-XXXX-6253   Dd Doordash Nashville    $     (95.23)
5/13/2026   5/11/2026 XXXX-XXXX-XXXX-5166   Caseys #1695             $     38.27
5/13/2026   5/11/2026 XXXX-XXXX-XXXX-5166   Caseys #1695             $     73.64
5/13/2026   5/11/2026 XXXX-XXXX-XXXX-7128   Menards Iowa City Ia     $     38.40
5/13/2026   5/11/2026 XXXX-XXXX-XXXX-5203   Kwik Star #1927          $     29.46
5/13/2026   5/11/2026 XXXX-XXXX-XXXX-5203   Kwik Star #1927          $     47.47
5/13/2026   5/11/2026 XXXX-XXXX-XXXX-5203   Kwik Star #1927          $     95.24
5/13/2026   5/11/2026 XXXX-XXXX-XXXX-7262   Kwik Star #1927          $     44.71
5/13/2026   5/11/2026 XXXX-XXXX-XXXX-8011   Van Meter Inc - Iowa C   $     26.38
5/13/2026   5/12/2026 XXXX-XXXX-XXXX-5173   Amazon.Com 9z54o5i83     $    285.84
5/13/2026   5/12/2026 XXXX-XXXX-XXXX-5420   Amoco#1054000dodge Qps   $     53.40
5/13/2026   5/12/2026 XXXX-XXXX-XXXX-3697   Subway 28736             $    202.50
5/13/2026   5/12/2026 XXXX-XXXX-XXXX-1432   National Speech Debat    $   1,120.50
5/13/2026   5/12/2026 XXXX-XXXX-XXXX-9167   Amazon Mktpl Bv1bo18c0   $     18.94
5/13/2026   5/12/2026 XXXX-XXXX-XXXX-9167   Amazon Mktpl Bf66w8gx1   $     37.60
5/13/2026   5/12/2026 XXXX-XXXX-XXXX-9167   Amazon Mktpl Bf2fr2mc2   $     40.37
5/13/2026   5/12/2026 XXXX-XXXX-XXXX-9167   Amazon Mktpl Bv0zk78y0   $    187.10
5/13/2026   5/12/2026 XXXX-XXXX-XXXX-2677   Sq Kona Ice Of Easter    $   1,350.00
5/13/2026   5/12/2026 XXXX-XXXX-XXXX-9199   Amazon Mktplace Pmts     $      (6.49)
5/13/2026   5/12/2026 XXXX-XXXX-XXXX-9199   Amazon Mktpl Xp5yq1693   $       8.99
5/13/2026   5/12/2026 XXXX-XXXX-XXXX-9199   Amazon Mktpl R802f62j3   $     12.38
5/13/2026   5/12/2026 XXXX-XXXX-XXXX-9199   Amazon.Com Mx6b07eq3     $     27.95
5/13/2026   5/12/2026 XXXX-XXXX-XXXX-9199   Amazon Mktpl Bv4lz38d0   $     65.97
5/13/2026   5/12/2026 XXXX-XXXX-XXXX-9199   Amazon Mktpl Bv42j38k0   $    113.57
5/13/2026   5/12/2026 XXXX-XXXX-XXXX-9199   J.W. Pepper              $    128.20
5/13/2026   5/12/2026 XXXX-XXXX-XXXX-9199   Amazon Mktpl Bv2ij9bg0   $    154.99
5/13/2026   5/12/2026 XXXX-XXXX-XXXX-3818   Arnold Motor Supply 4    $    762.66
5/13/2026   5/12/2026 XXXX-XXXX-XXXX-1519   Arnold Motor Supply 4    $     56.43
5/13/2026   5/12/2026 XXXX-XXXX-XXXX-7262   Golf Headquarters        $     30.00
5/13/2026   5/12/2026 XXXX-XXXX-XXXX-9774   Walmart.Com              $     69.15
5/13/2026   5/12/2026 XXXX-XXXX-XXXX-5320   Jjb Jibjab Ecards        $     25.44
5/13/2026   5/12/2026 XXXX-XXXX-XXXX-2589   Jersey Mikes 38033       $    533.59
5/13/2026   5/12/2026 XXXX-XXXX-XXXX-2589   Jersey Mikes 38033       $    627.75
5/13/2026   5/12/2026 XXXX-XXXX-XXXX-6054   National Scholastic Pr   $    228.00
5/13/2026   5/12/2026 XXXX-XXXX-XXXX-6054   National Scholastic Pr   $    357.00
5/13/2026   5/13/2026 XXXX-XXXX-XXXX-9199   Amazon.Com 7r1yr4803     $     17.79
5/13/2026   5/13/2026 XXXX-XXXX-XXXX-9199   Amazon Mktpl Bv0th4840   $    174.81
5/14/2026   5/10/2026 XXXX-XXXX-XXXX-6253   Doordash 05/09-2 Order   $     (49.19)
