Account                     Transaction Date   Supplier - Name          Transaction - Description                                                                                        Amount
21 0118 1900 921 6725 611   04/29/2026   Jersey Mikes 38033       Purchase Jersey Mikes 38033                                                                                         213.43
21 0493 1900 950 7000 611   04/29/2026   Amazon Mktpl Bj2h46cv1   Plastic Sporks, paper Bowls - Heather Stevens/World Wide Wickham Event                                               61.30
10 0114 1300 355 0000 612   04/29/2026   Fareway Meat And Groce   Supplies                                                                                                            139.22
10 0000 2610 000 0000 687   04/29/2026   Van Meter Inc - Iowa C   WO 214172 battery                                                                                                    24.38
10 0118 1300 355 0000 612   04/29/2026   Fareway Meat And Groce   Culinary Food Lab Groceries - Approved on Spreadsheet                                                               110.31
10 0442 1282 431 4501 612   04/29/2026   Amazon Mktpl Bv2cj8jw2   Supplies funded by Title 1 funds - Alexander Elementary c/o Beth Ramsey                                              62.96
10 0447 2410 000 0000 611   04/29/2026   Odp Bus Sol Llc# 10686   6x9 Manilla Envelopes 100pk x6                                                                                       52.74
10 0000 2131 000 0000 611   04/29/2026   Uiowa Online Payments    Purchase Uiowa Online Payments                                                                                      200.00
                                                                  Scotch Tape, Marker Sets, The Psychology of Money, Sharpie Markers, The Fish That Ate the Whale -
10 0109 1300 325 0000 612   04/29/2026   Amazon.Com Bv4227l82     A.Leman/J.Wilcox                                                                                                    259.72
10 0000 2610 000 0000 688   04/29/2026   Decker Equip School Fi   WO 213638 threshold                                                                                                 284.46
